school_number,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,asian,black,grade,mean_scale_score,any_lead_free_buildings,lead_percent,minority,race
X326,0.1763,0.5966,0.0097,0.9324,0.244,0.0894,0.0797,0.2246,All Grades,286,NA,NA,Minority,Hispanic
X355,0.0837,0.3054,0.0246,1,0.2414,0.0197,0.0296,0.6207,All Grades,276,NA,NA,Minority,Black
X357,0.2216,0.6347,0.006,0.8263,0.1138,0.1198,0.0958,0.1437,All Grades,309,NA,NA,Minority,Hispanic
X370,0.1709,0.3504,0.0171,0.9402,0.312,0.0385,0.0513,0.5427,All Grades,273,NA,NA,Minority,Black
X462,0.0435,0.332,0,0.8063,0.1858,0.0158,0.004,0.6482,All Grades,296,NA,NA,Minority,Black
X468,0.1039,0.6172,0.0059,0.8398,0.1988,0.092,0.089,0.1958,All Grades,294,NA,NA,Minority,Hispanic
X498,0.0498,0.6718,0.0069,0.7801,0.1787,0.1289,0.0756,0.1168,All Grades,312,No,0.06321839080459771,Minority,Hispanic
X529,0.0725,0.3353,0.0302,1,0.2326,0.0151,0.0181,0.6012,All Grades,296,NA,NA,Minority,Black
X532,0.0418,0.2787,0.0209,1,0.23,0.0035,0.0348,0.662,All Grades,278,NA,NA,Minority,Black
X556,0.158,0.5605,0.0074,0.7753,0.2074,0.0617,0.0494,0.321,All Grades,285,NA,NA,Minority,Hispanic
X566,0.0733,0.278,0.0151,1,0.2328,0.0129,0.028,0.6659,All Grades,284,NA,NA,Minority,Black
X567,0.184,0.6509,0.0236,1,0.1179,0.033,0.1415,0.1509,All Grades,284,NA,NA,Minority,Hispanic
X006,0.1034,0.7205,0.0081,0.9758,0.1696,0.0016,0.0081,0.2617,All Grades,286,No,0.012658227848101266,Minority,Hispanic
X044,0.1138,0.6308,0.0092,0.9477,0.2,0.0123,0.0062,0.3415,All Grades,286,No,0.1267605633802817,Minority,Hispanic
X047,0.2623,0.6717,0.0264,0.9604,0.1391,0.0176,0.0995,0.1849,All Grades,281,No,0.014285714285714285,Minority,Hispanic
X057,0.1215,0.709,0.0239,1,0.2192,0.0055,0.0037,0.2578,All Grades,277,No,0.01639344262295082,Minority,Hispanic
X061,0.0588,0.7647,0.0084,0.9552,0.1989,0,0.0056,0.2213,All Grades,283,No,0.1794871794871795,Minority,Hispanic
X066,0.1328,0.7109,0.0028,1,0.2033,0.0152,0.0014,0.2697,All Grades,278,No,0.0273972602739726,Minority,Hispanic
X067,0.0838,0.7241,0.0076,1,0.1997,0.0015,0.0046,0.2622,All Grades,293,No,0.08928571428571429,Minority,Hispanic
