school_number,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,asian,black,grade,mean_scale_score,any_lead_free_buildings,lead_percent,minority,race
K121,0.1821,0.4301,0.0079,1,0.2454,0.3509,0.1715,0.0396,All Grades,313,No,0.03773584905660377,Minority,Hispanic
K128,0.3545,0.1995,0.0164,0.8263,0.1268,0.4624,0.3122,0.0094,All Grades,304,No,0.15,Minority,White
K153,0.2165,0.3113,0.0465,1,0.1628,0.3435,0.2719,0.0268,All Grades,316,No,0.06329113924050633,Minority,White
K177,0.305,0.3216,0.0176,1,0.1774,0.3963,0.2583,0.0062,All Grades,304,No,0.025974025974025976,Minority,White
K188,0.0349,0.3511,0.0103,1,0.2279,0.0801,0.0472,0.5113,All Grades,294,No,0.13095238095238096,Minority,Black
K199,0.3347,0.2521,0,0.8388,0.1612,0.4545,0.25,0.0434,All Grades,312,No,0.09836065573770492,Minority,White
K209,0.1814,0.241,0.0083,0.795,0.2396,0.4294,0.2853,0.036,All Grades,315,No,0.2903225806451613,Minority,White
K212,0.1657,0.3228,0.0058,0.8343,0.2061,0.1974,0.3242,0.1499,All Grades,300,No,0,Minority,Asian
K215,0.1424,0.2572,0.0181,0.7014,0.1211,0.4718,0.2221,0.0308,All Grades,324,No,0.11594202898550725,Minority,White
K216,0.1285,0.1765,0.0077,0.7276,0.1269,0.5201,0.2446,0.0511,All Grades,309,No,0.1566265060240964,White,White
K225,0.3757,0.3767,0.0085,1,0.2063,0.4074,0.182,0.0254,All Grades,297,No,0.10714285714285714,Minority,White
K226,0.1826,0.3082,0.0068,0.8502,0.1884,0.3932,0.2744,0.0174,All Grades,314,No,0,Minority,White
K228,0.1124,0.2701,0.007,0.8048,0.1764,0.324,0.3091,0.0898,All Grades,314,No,0.1232876712328767,Minority,White
K238,0.253,0.5282,0.0017,1,0.2171,0.2325,0.1932,0.0444,All Grades,289,No,0.21794871794871795,Minority,Hispanic
K239,0.0054,0.0554,0.0323,0.2987,0.0893,0.542,0.2787,0.0916,All Grades,351,No,0.391304347826087,White,White
K253,0.2134,0.4141,0.0115,1,0.1915,0.1811,0.3887,0.0046,All Grades,325,No,0.07954545454545454,Minority,Hispanic
K281,0.151,0.2373,0.0129,0.7938,0.1501,0.3106,0.3693,0.0699,All Grades,311,No,0.23134328358208955,Minority,Asian
K288,0.0775,0.3757,0.0119,1,0.2266,0.0875,0.0258,0.499,All Grades,276,No,0.058823529411764705,Minority,Black
K303,0.1226,0.321,0.0039,1,0.1848,0.3132,0.2023,0.1595,All Grades,302,No,0.20786516853932585,Minority,Hispanic
K329,0.0311,0.2689,0.0022,0.9356,0.1956,0.0644,0.06,0.6044,All Grades,277,No,0.046357615894039736,Minority,Black
K468,0.0106,0.2606,0.0089,0.7482,0.156,0.3918,0.0691,0.2695,All Grades,294,NA,NA,Minority,White
K690,0.111,0.2619,0.0022,0.7514,0.1787,0.5261,0.1632,0.0466,All Grades,302,NA,NA,White,White
K014,0.1621,0.1494,0.0091,0.8798,0.2714,0.2149,0.1002,0.5264,All Grades,292,No,0.06382978723404255,Minority,Black
K052,0.1505,0.1343,0.0274,0.7351,0.1343,0.5709,0.1219,0.1455,All Grades,314,No,0.07258064516129033,White,White
K078,0.0557,0.0881,0.0091,0.7098,0.2293,0.1282,0.035,0.7396,All Grades,288,No,0.2426470588235294,Minority,Black
K109,0.048,0.1584,0.0064,0.808,0.256,0.0144,0.008,0.8128,All Grades,288,NA,NA,Minority,Black
K119,0.0444,0.1238,0.0093,1,0.1542,0.021,0.1308,0.715,All Grades,292,No,0.09259259259259259,Minority,Black
K134,0.2306,0.1532,0.0103,1,0.1343,0.3115,0.4131,0.1119,All Grades,334,NA,NA,Minority,Asian
K139,0.189,0.38,0.0176,0.81,0.144,0.097,0.1734,0.332,All Grades,298,No,0.05442176870748299,Minority,Hispanic
K152,0.1265,0.2139,0.0134,1,0.1579,0.0325,0.0627,0.6775,All Grades,292,No,0.03867403314917127,Minority,Black
K193,0.1644,0.1463,0.0397,0.78,0.1417,0.178,0.1644,0.4717,All Grades,305,No,0,Minority,Black
K194,0.0938,0.2431,0.0171,1,0.2175,0.1194,0.1322,0.4883,All Grades,301,No,0.057971014492753624,Minority,Black
K195,0.1174,0.0348,0.0043,0.3,0.0717,0.8891,0.0413,0.0304,All Grades,338,No,0.014705882352941176,White,White
K197,0.2146,0.1797,0.0183,1,0.173,0.5574,0.0882,0.1564,All Grades,317,No,0.21739130434782608,White,White
K198,0.053,0.0742,0.0148,0.8962,0.1886,0.0169,0.0275,0.8665,All Grades,302,No,0.12162162162162163,Minority,Black
K203,0.0463,0.0977,0.0167,1,0.1799,0.0386,0.0296,0.8175,All Grades,298,No,0.06097560975609756,Minority,Black
K206,0.1728,0.0977,0.0135,0.7316,0.1154,0.3994,0.4688,0.0205,All Grades,321,No,0.16279069767441862,Minority,Asian
K207,0.0205,0.1422,0.0126,0.4834,0.1509,0.3949,0.1051,0.3452,All Grades,318,No,0.20634920634920634,Minority,White
K217,0.2292,0.1967,0.0214,1,0.1404,0.1792,0.4853,0.1174,All Grades,313,No,0.049586776859504134,Minority,Asian
K222,0.0486,0.1864,0.0226,0.5198,0.2136,0.4452,0.2011,0.1446,All Grades,331,No,0.11864406779661017,Minority,White
K234,0.0904,0.1195,0.0062,0.6149,0.1102,0.4428,0.263,0.1684,All Grades,324,No,0.17834394904458598,Minority,White
K236,0.0627,0.131,0.0351,0.4188,0.1144,0.5314,0.0996,0.203,All Grades,336,No,0.061224489795918366,White,White
K240,0.1259,0.1064,0.008,0.7311,0.167,0.0664,0.1819,0.6373,All Grades,291,No,0.140625,Minority,Black
K245,0.1457,0.394,0.0232,0.947,0.1854,0.0232,0.0199,0.5397,All Grades,309,NA,NA,Minority,Black
K251,0.0493,0.1166,0.0164,1,0.1658,0.0443,0.0411,0.7816,All Grades,287,No,0.07692307692307693,Minority,Black
K254,0.1664,0.0812,0.0068,0.6238,0.0825,0.5656,0.3261,0.0203,All Grades,333,No,0.17543859649122806,White,White
K255,0.1603,0.1167,0.0174,0.7448,0.1679,0.5998,0.241,0.0251,All Grades,322,No,0.0759493670886076,White,White
K269,0.1332,0.0627,0.0052,1,0.2115,0.0104,0.0287,0.893,All Grades,292,No,0.12389380530973451,Minority,Black
K277,0.0416,0.1225,0.0109,0.442,0.1926,0.7615,0.0744,0.0306,All Grades,324,No,0.15789473684210525,White,White
K278,0.0572,0.1805,0.008,0.7071,0.1745,0.2738,0.0712,0.4664,All Grades,306,No,0.20652173913043478,Minority,Black
K312,0.0367,0.1058,0.0178,0.49,0.1682,0.4454,0.0367,0.3942,All Grades,322,No,0,Minority,White
K315,0.1195,0.2108,0.0154,0.8522,0.2069,0.0308,0.0784,0.6645,All Grades,294,NA,NA,Minority,Black
K041,0.0436,0.3447,0.0133,0.9867,0.2614,0.0076,0.0133,0.6212,All Grades,274,No,0,Minority,Black
K137,0.033,0.1914,0.0627,0.8812,0.2376,0.0066,0.0132,0.7261,All Grades,292,No,0.037037037037037035,Minority,Black
K150,0.1444,0.3316,0.0053,0.9626,0.2406,0.0481,0.0267,0.5882,All Grades,267,No,0.15584415584415584,Minority,Black
K155,0.1333,0.4152,0.0152,0.9714,0.1867,0.0076,0.0152,0.5467,All Grades,288,No,0.016129032258064516,Minority,Black
K156,0.0333,0.1815,0.0086,0.9136,0.2,0.0074,0.0025,0.8,All Grades,284,NA,NA,Minority,Black
K165,0.0396,0.1189,0,1,0.2599,0.0242,0.0066,0.8502,All Grades,268,No,0.2727272727272727,Minority,Black
K178,0.0525,0.16,0.0125,0.885,0.1875,0.0125,0.0075,0.8075,All Grades,288,No,0.06382978723404255,Minority,Black
K184,0.0375,0.2607,0.0036,0.9179,0.1607,0.0018,0.0036,0.7304,All Grades,284,No,0.09302325581395349,Minority,Black
K284,0.1,0.3143,0,0.9232,0.2411,0.0071,0.0018,0.6768,All Grades,271,No,0.019230769230769232,Minority,Black
K298,0.0667,0.263,0.063,0.9852,0.2259,0.0185,0,0.6556,All Grades,279,No,0.019230769230769232,Minority,Black
K323,0.0297,0.1735,0.0023,0.8402,0.1804,0.0046,0.0068,0.8128,All Grades,281,NA,NA,Minority,Black
K327,0.0669,0.2258,0.0117,0.8227,0.2308,0.0117,0.0117,0.7391,All Grades,269,No,0.006289308176100629,Minority,Black
K363,0.1027,0.2877,0.0068,0.9658,0.2603,0.0068,0.0137,0.6849,All Grades,274,NA,NA,Minority,Black
K392,0,0.1599,0.0149,0.7584,0.0706,0.0074,0.0409,0.777,All Grades,309,NA,NA,Minority,Black
K401,0.0189,0.2776,0.0158,0.8801,0.265,0.0095,0.0063,0.6909,All Grades,287,No,0.3333333333333333,Minority,Black
K446,0.0445,0.1712,0.0308,0.8664,0.1952,0.0103,0.0205,0.7671,All Grades,287,No,0.75,Minority,Black
K518,0.0103,0.0722,0.0052,0.8711,0.1546,0.0103,0.0103,0.9021,All Grades,279,NA,NA,Minority,Black
K522,0.0219,0.1093,0,0.8689,0.1967,0,0.0055,0.8852,All Grades,284,NA,NA,Minority,Black
K599,0.0365,0.2083,0,1,0.1667,0.0104,0.026,0.7552,All Grades,319,NA,NA,Minority,Black
K644,0.0139,0.0955,0.0139,0.7587,0.224,0.0122,0.0052,0.8733,All Grades,299,NA,NA,Minority,Black
K664,0.0233,0.1628,0.0116,1,0.2907,0.0116,0,0.814,All Grades,283,No,0,Minority,Black
K668,0.0581,0.1163,0.0233,0.8953,0.2209,0,0.0116,0.8488,All Grades,282,NA,NA,Minority,Black
K671,0.0157,0.1361,0.0105,0.7487,0.2513,0.0105,0.0052,0.8377,All Grades,296,NA,NA,Minority,Black
K697,0.0308,0.1462,0.0051,0.7846,0.2026,0.0051,0.0026,0.841,All Grades,270,NA,NA,Minority,Black
Q005,0.1755,0.5372,0.005,1,0.1448,0.0224,0.4164,0.019,All Grades,316,No,0.20212765957446807,Minority,Hispanic
Q007,0.6054,0.3515,0.0048,0.8793,0.1274,0.0096,0.6293,0.0048,All Grades,308,No,0.036036036036036036,Minority,Asian
Q012,0.2881,0.3885,0.0133,0.9019,0.1075,0.022,0.5746,0.0016,All Grades,319,No,0.09285714285714286,Minority,Asian
Q013,0.3536,0.574,0.005,1,0.1059,0.0223,0.3077,0.091,All Grades,308,No,0.014492753623188406,Minority,Hispanic
Q014,0.278,0.8571,0.0068,1,0.1469,0.0164,0.0825,0.0373,All Grades,290,No,0.1056338028169014,Minority,Hispanic
Q016,0.4359,0.8969,0.0029,1,0.1527,0.0041,0.0932,0.0029,All Grades,300,NA,NA,Minority,Hispanic
Q019,0.6108,0.8994,0.0015,1,0.1864,0.0035,0.0912,0.0045,All Grades,299,No,0.037037037037037035,Minority,Hispanic
Q049,0.0628,0.2688,0.0053,0.4704,0.1362,0.5659,0.1574,0.0027,All Grades,324,No,0.09523809523809523,White,White
Q058,0.1377,0.3846,0.003,0.75,0.166,0.2348,0.3644,0.0132,All Grades,317,No,0.047337278106508875,Minority,Hispanic
Q061,0.2792,0.8802,0.0013,0.9451,0.18,0.0158,0.0663,0.0364,All Grades,289,No,0,Minority,Hispanic
Q068,0.2016,0.8146,0.0095,1,0.1543,0.0961,0.0406,0.0392,All Grades,301,No,0.017241379310344827,Minority,Hispanic
Q071,0.1453,0.5538,0.0057,0.8398,0.1453,0.4096,0.0252,0.0057,All Grades,307,No,0.0547945205479452,Minority,Hispanic
Q073,0.1383,0.6046,0.0026,1,0.1661,0.1356,0.2413,0.0158,All Grades,316,No,0.07692307692307693,Minority,Hispanic
Q077,0.2175,0.7631,9e-4,0.8442,0.2276,0.1161,0.0912,0.0286,All Grades,285,NA,NA,Minority,Hispanic
Q081,0.1863,0.8684,0.0011,1,0.2442,0.0611,0.06,0.0095,All Grades,310,No,0.02666666666666667,Minority,Hispanic
Q087,0.0551,0.4956,0.0053,0.6643,0.254,0.4494,0.0373,0.0124,All Grades,302,No,0.10714285714285714,Minority,Hispanic
Q088,0.2051,0.5424,0.0036,0.732,0.1486,0.3756,0.0574,0.021,All Grades,304,No,0.10948905109489052,Minority,Hispanic
Q089,0.4083,0.7594,0.0061,1,0.1322,0.0147,0.2194,5e-4,All Grades,307,No,0.04081632653061224,Minority,Hispanic
Q091,0.0719,0.5177,0.0047,0.717,0.1828,0.4186,0.0318,0.0271,All Grades,301,No,0.04697986577181208,Minority,Hispanic
Q093,0.1511,0.719,0.0025,0.8135,0.1764,0.1679,0.0903,0.0203,All Grades,301,No,0.03076923076923077,Minority,Hispanic
Q102,0.1399,0.329,0.0092,0.8486,0.1222,0.0292,0.5888,0.0438,All Grades,323,No,0,Minority,Asian
Q110,0.5,0.9247,0.0108,0.9677,0.1452,0.0054,0.0269,0.0323,All Grades,320,NA,NA,Minority,Hispanic
Q113,0.0345,0.3887,0.0125,0.6865,0.1254,0.534,0.0533,0.0115,All Grades,323,No,0.07971014492753623,White,White
Q119,0.0376,0.3156,0.0083,0.6771,0.1055,0.4303,0.2312,0.0147,All Grades,326,No,0.012658227848101266,Minority,White
Q125,0.1682,0.5565,0.0039,1,0.1558,0.0494,0.3721,0.0182,All Grades,307,No,0.05714285714285714,Minority,Hispanic
Q128,0.0378,0.1985,0.0054,0.3528,0.1057,0.7562,0.0324,0.0076,All Grades,324,NA,NA,White,White
Q143,0.4463,0.9354,6e-4,0.9477,0.1491,0.0028,0.0445,0.0167,All Grades,287,No,0.043010752688172046,Minority,Hispanic
Q153,0.091,0.4598,0.0078,0.6953,0.146,0.4535,0.0705,0.0085,All Grades,321,No,0.022727272727272728,Minority,Hispanic
Q199,0.3961,0.6021,0.0187,1,0.1592,0.0581,0.3155,0.0056,All Grades,310,No,0.07526881720430108,Minority,Hispanic
Q211,0.6652,0.8869,0.0045,0.9774,0.1267,0.0136,0.0407,0.0543,All Grades,316,NA,NA,Minority,Hispanic
Q229,0.0767,0.3882,0.0092,0.6856,0.1746,0.2356,0.352,0.0149,All Grades,326,No,0.027777777777777776,Minority,Hispanic
Q239,0.2824,0.7778,0.0031,0.9429,0.2022,0.0679,0.1204,0.0309,All Grades,294,No,0.09259259259259259,Minority,Hispanic
Q290,0.0673,0.4269,0.0209,0.6682,0.0905,0.297,0.2181,0.0371,All Grades,327,No,0.029411764705882353,Minority,Hispanic
Q305,0.2362,0.8015,0.005,0.8794,0.1784,0.1206,0.0553,0.0176,All Grades,310,NA,NA,Minority,Hispanic
Q307,0.3547,0.9339,0.0061,0.9726,0.1748,0.0081,0.0386,0.0132,All Grades,303,NA,NA,Minority,Hispanic
Q311,0.217,0.9481,0,0.9811,0.1368,0.0094,0.033,0.0094,All Grades,296,No,0.03225806451612903,Minority,Hispanic
Q330,0.2972,0.8724,0.0035,0.9545,0.1748,0.0105,0.0892,0.0245,All Grades,303,NA,NA,Minority,Hispanic
Q560,0.0541,0.5951,0.0082,0.8066,0.118,0.1361,0.2098,0.0508,All Grades,339,NA,NA,Minority,Hispanic
Q877,0.2675,0.3339,0,0.9151,0.1162,0.024,0.6365,0.0055,All Grades,322,No,0.12,Minority,Asian
Q020,0.3457,0.1942,0.0057,0.9303,0.0875,0.0199,0.7447,0.0356,All Grades,329,No,0.0891089108910891,Minority,Asian
Q021,0.1496,0.2867,0.0103,0.7627,0.1142,0.0847,0.6057,0.0125,All Grades,327,No,0.026041666666666668,Minority,Asian
Q022,0.4571,0.3689,0.011,0.8848,0.1054,0.038,0.5735,0.0086,All Grades,330,No,0.11650485436893204,Minority,Asian
Q024,0.3904,0.0994,0.0061,1,0.1035,0.0195,0.8422,0.0328,All Grades,332,No,0.05555555555555555,Minority,Asian
Q025,0.0826,0.2278,0.0088,0.6233,0.1514,0.2541,0.4981,0.0113,All Grades,324,No,0.020833333333333332,Minority,Asian
Q029,0.2537,0.5606,0.0012,0.8688,0.1522,0.1324,0.2822,0.0235,All Grades,303,No,0.04950495049504951,Minority,Hispanic
Q032,0.1086,0.1825,0.0179,0.6224,0.1034,0.1171,0.6719,0.0105,All Grades,332,No,0,Minority,Asian
Q079,0.0698,0.1957,0.0128,0.5182,0.118,0.352,0.4336,0.0059,All Grades,334,No,0.0423728813559322,Minority,Asian
Q107,0.1729,0.3147,0.0083,0.7133,0.1749,0.1501,0.5124,0.0145,All Grades,319,No,0.17037037037037037,Minority,Asian
Q120,0.3836,0.1498,0,1,0.0937,0.0193,0.8222,0.0087,All Grades,321,No,0.05454545454545454,Minority,Asian
Q129,0.1522,0.5036,0.0082,0.7627,0.1259,0.1486,0.327,0.0127,All Grades,323,No,0.02727272727272727,Minority,Hispanic
Q130,0.1475,0.1421,0.0241,0.3512,0.1448,0.2386,0.5416,0.0536,All Grades,336,No,0,Minority,Asian
Q154,0.2449,0.2111,0.0149,0.8241,0.115,0.1218,0.5656,0.0866,All Grades,318,No,0.051094890510948905,Minority,Asian
Q163,0.3994,0.1537,0.0063,0.775,0.1204,0.0254,0.7797,0.0349,All Grades,336,No,0.020134228187919462,Minority,Asian
Q164,0.1279,0.259,0.0078,0.7551,0.1498,0.3604,0.3089,0.064,All Grades,314,No,0.043478260869565216,Minority,White
Q165,0.1221,0.1967,0.0068,0.7042,0.1927,0.137,0.5468,0.1126,All Grades,323,No,0.047337278106508875,Minority,Asian
Q169,0.0452,0.201,0.0176,0.3819,0.1859,0.4322,0.3141,0.0352,All Grades,319,No,0.024,Minority,White
Q184,0.0678,0.1415,0.0194,0.4806,0.1434,0.5019,0.3333,0.0039,All Grades,337,No,0.041237113402061855,White,White
Q185,0.0913,0.2915,0.0066,0.7544,0.1431,0.1202,0.5397,0.042,All Grades,328,No,0,Minority,Asian
Q189,0.2803,0.2471,0.0029,1,0.1763,0.0246,0.6965,0.0289,All Grades,317,No,0.17708333333333334,Minority,Asian
Q193,0.1049,0.1929,0.0112,0.367,0.1161,0.5618,0.2247,0.0094,All Grades,331,No,0.06349206349206349,White,White
Q194,0.0723,0.3114,0.0065,0.6237,0.1659,0.3364,0.3272,0.0185,All Grades,321,No,0.2857142857142857,Minority,White
Q200,0.0657,0.4619,0.0169,0.7288,0.1653,0.1674,0.1356,0.2182,All Grades,309,No,0.043478260869565216,Minority,Hispanic
Q031,0.1266,0.2103,0.0036,0.574,0.1141,0.1408,0.5597,0.0856,All Grades,334,No,0.025,Minority,Asian
Q201,0.106,0.346,0.01,1,0.206,0.03,0.174,0.44,All Grades,293,No,0.08208955223880597,Minority,Black
Q209,0.0647,0.1667,0.0307,0.343,0.1715,0.4078,0.3867,0.0081,All Grades,337,No,0.028846153846153848,Minority,White
Q214,0.1561,0.2621,0.0149,0.7751,0.1283,0.0428,0.6264,0.053900000000000003,All Grades,330,No,0.10476190476190476,Minority,Asian
Q219,0.1464,0.3344,0.0031,0.7411,0.2203,0.1572,0.4037,0.1017,All Grades,318,No,0.019417475728155338,Minority,Asian
Q237,0.1985,0.1757,0.0059,0.8615,0.1326,0.0186,0.7247,0.0752,All Grades,328,No,0.03278688524590164,Minority,Asian
Q242,0.3607,0.1592,0.0199,0.7363,0.1393,0.0448,0.7388,0.0373,All Grades,342,No,0.012658227848101266,Minority,Asian
Q244,0.5523,0.0705,0.0136,0.7886,0.1023,0.0295,0.8727,0.0136,All Grades,339,No,0,Minority,Asian
Q250,0.1842,0.2684,0.0316,0.7868,0.2474,0.1316,0.2816,0.2868,All Grades,296,NA,NA,Minority,Black
Q252,0.0251,0.2388,0.018,0.5889,0.1436,0.1813,0.3932,0.1688,All Grades,299,NA,NA,Minority,Asian
Q281,0.1201,0.1426,0.0135,0.8468,0.1216,0.0511,0.6832,0.1096,All Grades,334,NA,NA,Minority,Asian
Q285,0.0066,0.2459,0.0131,0.4918,0.2,0.5115,0.1672,0.0623,All Grades,309,NA,NA,White,White
Q294,0.0325,0.2385,0.0027,0.4499,0.1843,0.4119,0.3117,0.0352,All Grades,327,NA,NA,Minority,White
Q499,0.0476,0.131,0.0278,0.5099,0.0952,0.0873,0.494,0.2599,All Grades,335,No,0.08391608391608392,Minority,Asian
Q018,0.0786,0.0975,0.0079,0.544,0.0881,0.0472,0.7484,0.0991,All Grades,331,No,0.047619047619047616,Minority,Asian
Q026,0.0975,0.1595,0.0251,0.5835,0.1787,0.1034,0.6233,0.0886,All Grades,333,No,0.10256410256410256,Minority,Asian
Q041,0.0657,0.1857,0.0263,0.3527,0.1332,0.3133,0.4484,0.0263,All Grades,346,No,0,Minority,Asian
Q046,0.1045,0.136,0.0216,0.4809,0.2753,0.1857,0.5954,0.0614,All Grades,346,No,0.10396039603960396,Minority,Asian
Q067,0.0395,0.1127,0.0147,0.4025,0.0846,0.2232,0.6257,0.0237,All Grades,338,No,0.06930693069306931,Minority,Asian
Q074,0.0554,0.0936,0.0105,0.4565,0.1452,0.192,0.6552,0.0487,All Grades,338,No,0.1388888888888889,Minority,Asian
Q094,0.0709,0.1942,0.0131,0.4173,0.1286,0.294,0.4488,0.0499,All Grades,333,No,0.08888888888888889,Minority,Asian
Q098,0.04,0.155,0.06,0.23,0.105,0.445,0.285,0.055,All Grades,336,No,0.12244897959183673,Minority,White
Q115,0.033,0.1351,0.03,0.4399,0.0931,0.0901,0.6877,0.0571,All Grades,340,No,0.09302325581395349,Minority,Asian
Q133,0.0646,0.1708,0.0208,0.6396,0.1729,0.1229,0.6354,0.05,All Grades,333,No,0.06097560975609756,Minority,Asian
Q158,0.0722,0.1357,0.0038,0.5457,0.1116,0.2031,0.6208,0.0366,All Grades,333,No,0.06862745098039216,Minority,Asian
Q159,0.1542,0.2031,0.0168,0.5084,0.1115,0.2779,0.4809,0.0214,All Grades,336,No,0.1896551724137931,Minority,Asian
Q162,0.1245,0.1007,0.0168,0.5916,0.1161,0.1664,0.6909,0.0252,All Grades,337,No,0.07964601769911504,Minority,Asian
Q172,0.0396,0.1408,0.0073,0.5912,0.1616,0.1491,0.5808,0.122,All Grades,319,No,0.20300751879699247,Minority,Asian
Q173,0.1162,0.112,0.0207,0.5788,0.1214,0.2728,0.582,0.0124,All Grades,334,No,0.037037037037037035,Minority,Asian
Q178,0.0534,0.1145,0.021,0.4179,0.0821,0.6374,0.1546,0.0725,All Grades,320,No,0.045454545454545456,White,White
Q186,0.0077,0.1995,0.0153,0.3427,0.2685,0.312,0.3427,0.1304,All Grades,331,No,0.017857142857142856,Minority,Asian
Q188,0.0303,0.0708,0.0202,0.2211,0.0939,0.3165,0.5708,0.0217,All Grades,360,No,0.13131313131313133,Minority,Asian
Q191,0.1106,0.1106,0.0123,0.5897,0.1106,0.1057,0.7076,0.0639,All Grades,322,No,0.04807692307692308,Minority,Asian
Q203,0.0943,0.0932,0.0252,0.3904,0.1064,0.1579,0.7018,0.0219,All Grades,348,No,0.03125,Minority,Asian
Q205,0.0561,0.215,0.0218,0.324,0.1589,0.3427,0.3863,0.0343,All Grades,341,No,0.05,Minority,Asian
Q213,0.0839,0.128,0.0243,0.4901,0.0993,0.0971,0.6843,0.0662,All Grades,332,No,0.07079646017699115,Minority,Asian
Q216,0.0963,0.0949,0.013,0.672,0.0949,0.1274,0.7046,0.0601,All Grades,338,No,0.13,Minority,Asian
Q221,0.0733,0.1232,0.0062,0.3807,0.1326,0.2137,0.6287,0.0281,All Grades,340,No,0.07692307692307693,Minority,Asian
Q266,0.029,0.2075,0.0145,0.4775,0.1408,0.2192,0.4543,0.1045,All Grades,322,No,0.06428571428571428,Minority,Asian
Q306,0.1437,0.675,0.0625,0.8438,0.1542,0.0521,0.15,0.0604,All Grades,306,NA,NA,Minority,Hispanic
Q042,0.0439,0.2471,0.0132,0.9415,0.2178,0.0263,0.0175,0.6959,All Grades,277,No,0.1056338028169014,Minority,Black
Q043,0.0825,0.3089,0.0131,0.8481,0.2012,0.0332,0.0433,0.6016,All Grades,281,No,0.20446096654275092,Minority,Black
Q045,0.0538,0.1538,0.041,0.8103,0.1385,0.0051,0.0564,0.7436,All Grades,284,No,0.11320754716981132,Minority,Black
Q047,0.0138,0.1382,0,0.4009,0.2442,0.8249,0,0.0369,All Grades,319,No,0.1,White,White
Q053,0.1629,0.3736,0.0197,1,0.2978,0.0197,0.014,0.573,All Grades,258,No,0.19230769230769232,Minority,Black
Q056,0.1259,0.3898,0.0363,0.8596,0.155,0.109,0.3971,0.0678,All Grades,306,No,0.12359550561797752,Minority,Asian
Q060,0.1364,0.7403,0.0446,0.8742,0.1485,0.0487,0.1339,0.0325,All Grades,317,No,0.011363636363636364,Minority,Hispanic
Q062,0.1489,0.2686,0.0421,1,0.1014,0.0151,0.6343,0.0399,All Grades,311,No,0.07092198581560284,Minority,Asian
Q063,0.1206,0.5147,0.0412,0.8412,0.1338,0.0809,0.3066,0.0566,All Grades,318,No,0.10077519379844961,Minority,Hispanic
Q064,0.1689,0.3409,0.0335,1,0.1065,0.0167,0.551,0.0578,All Grades,310,No,0.09090909090909091,Minority,Asian
Q065,0.0871,0.4554,0.0891,1,0.1564,0.0376,0.3584,0.0594,All Grades,306,NA,NA,Minority,Hispanic
Q066,0.1737,0.6563,0.0457,0.9232,0.2377,0.064,0.181,0.053,All Grades,315,No,0,Minority,Hispanic
Q090,0.1682,0.5339,0.021,0.889,0.1776,0.0432,0.3364,0.0654,All Grades,309,No,0.0958904109589041,Minority,Hispanic
Q096,0.101,0.127,0.0912,0.8339,0.0619,0.0195,0.5114,0.2508,All Grades,317,No,0,Minority,Asian
Q097,0.1858,0.7444,0.0223,0.8883,0.1271,0.0293,0.169,0.0349,All Grades,315,No,0.03333333333333333,Minority,Hispanic
Q100,0.0828,0.1882,0.2118,1,0.1882,0.0366,0.4903,0.0731,All Grades,323,No,0.11428571428571428,Minority,Asian
Q104,0.0967,0.3926,0.0171,1,0.202,0.0427,0.0441,0.5036,All Grades,286,No,0.05194805194805195,Minority,Black
Q105,0.0458,0.3055,0.0141,1,0.2209,0.0176,0.0282,0.6345,All Grades,277,No,0.007751937984496124,Minority,Black
Q106,0.0429,0.281,0.0095,0.9619,0.2952,0.019,0.019,0.6714,All Grades,277,No,0.34615384615384615,Minority,Black
Q108,0.0495,0.3482,0.011,0.8468,0.1346,0.0419,0.5288,0.0701,All Grades,319,No,0.013888888888888888,Minority,Asian
Q114,0.0031,0.0904,0.0077,0.1975,0.2205,0.8714,0.0092,0.0214,All Grades,324,No,0.03333333333333333,White,White
Q123,0.0494,0.1962,0.0552,0.9288,0.1642,0.016,0.109,0.6235,All Grades,297,No,0.03278688524590164,Minority,Black
Q124,0.0481,0.2149,0.0293,1,0.1285,0.0225,0.4869,0.2464,All Grades,300,No,0,Minority,Asian
Q137,0.0877,0.3186,0.0588,0.8514,0.1323,0.0241,0.5433,0.0551,All Grades,301,No,0,Minority,Asian
Q146,0.0202,0.329,0.0159,0.531,0.2092,0.6061,0.026,0.0231,All Grades,313,No,0.05555555555555555,White,White
Q155,0.0473,0.2049,0.1594,0.9597,0.1296,0.0158,0.345,0.275,All Grades,325,No,0.12698412698412698,Minority,Asian
Q183,0.0382,0.3472,0.0349,0.9053,0.2791,0.0498,0.0399,0.5282,All Grades,279,No,0.0759493670886076,Minority,Black
Q197,0.188,0.4361,0.0109,0.8577,0.2007,0.0401,0.0128,0.5,All Grades,290,No,0.06923076923076923,Minority,Black
Q202,0.0899,0.4872,0.0208,0.8354,0.1561,0.0795,0.334,0.0785,All Grades,300,No,0.13793103448275862,Minority,Hispanic
Q207,0.0014,0.1843,0.019,0.4092,0.1951,0.7615,0.0244,0.0108,All Grades,319,No,0.008928571428571428,White,White
Q210,0.142,0.6149,0.0016,0.8574,0.1636,0.04,0.2825,0.061,All Grades,295,No,0.0125,Minority,Hispanic
Q223,0.0304,0.1344,0.0736,0.8928,0.2048,0.0096,0.0848,0.6976,All Grades,292,No,0.043478260869565216,Minority,Black
Q226,0.0547,0.167,0.1823,0.8205,0.1852,0.0086,0.2486,0.3935,All Grades,285,No,0.31932773109243695,Minority,Black
