school_name.x,asian,black,english_language_learners,hispanic,other_race,poverty,students_with_disabilities,white,school_number,grade,mean_scale_score,latitude,longitude,any_lead_free_buildings,number_of_outlets_result_less,number_of_outlets_result_greater,number_of_outlets,county,school_district,lead_percent,minority,largest,race
P.S. 054 Hillside,0.3367,0.0771,0.2412,0.5059,0.0519,1,0.1441,0.0285,Q054,All Grades,295,-73.824209096,40.702668109,No,42,3,45,Queens,NYC DOE,0.06666666666666667,Minority,0.5059,Hispanic
P.S. 055 Maure,0.5363,0.121,0.0625,0.248,0.0847,0.8206,0.1351,0.0101,Q055,All Grades,304,-73.816343839,40.694063158,No,49,9,58,Queens,NYC DOE,0.15517241379310345,Minority,0.5363,Asian
Catherine & Count Basie Middle School 72,0.1303,0.7184,0.0408,0.1105,0.0329,0.7263,0.2237,0.0079,Q072,All Grades,272,-73.776374718,40.67436128,No,92,14,106,Queens,NYC DOE,0.1320754716981132,Minority,0.7184,Black
PS 80  The Thurgood Marshall Magnet School of Mult,0.0253,0.8754,0.0168,0.069,0.0236,0.8232,0.2172,0.0067,Q080,All Grades,292,-73.769004156,40.672859359,No,119,9,128,Queens,NYC DOE,0.0703125,Minority,0.8754,Black
P.S. 082 Hammond,0.2938,0.0639,0.277,0.618,0.0046,1,0.1431,0.0198,Q082,All Grades,293,-73.811824415,40.704119514,No,85,2,87,Queens,NYC DOE,0.022988505747126436,Minority,0.618,Hispanic
P.S. Q086,0.5467,0.0924,0.2909,0.3015,0.0244,1,0.1327,0.035,Q086,All Grades,303,-73.803259964,40.708479522,No,114,5,119,Queens,NYC DOE,0.04201680672268908,Minority,0.5467,Asian
P.S. 099 Kew Gardens,0.2341,0.0682,0.1165,0.3988,0.0282,0.6765,0.1682,0.2706,Q099,All Grades,321,-73.82844911,40.711251896,No,67,8,75,Queens,NYC DOE,0.10666666666666667,Minority,0.3988,Hispanic
P.S. 101 School in the Gardens,0.31,0.0326,0.0457,0.1289,0.0718,0.1746,0.0946,0.4568,Q101,All Grades,333,-73.843934241,40.715097459,No,49,4,53,Queens,NYC DOE,0.07547169811320754,Minority,0.4568,White
P.S. 117 J. Keld / Briarwood School,0.3604,0.1055,0.112,0.3315,0.0392,1,0.1466,0.1634,Q117,All Grades,307,-73.813337001,40.709486953,No,98,6,104,Queens,NYC DOE,0.057692307692307696,Minority,0.3604,Asian
P.S. 121 Queens,0.4369,0.1881,0.0383,0.1081,0.2523,0.8119,0.0991,0.0146,Q121,All Grades,317,-73.815916254,40.683950757,No,59,8,67,Queens,NYC DOE,0.11940298507462686,Minority,0.4369,Asian
P.S. 139 Rego Park,0.2515,0.0248,0.1806,0.3424,0.0201,0.6718,0.1582,0.3613,Q139,All Grades,320,-73.863422221,40.728340291,No,79,3,82,Queens,NYC DOE,0.036585365853658534,Minority,0.3613,White
P.S. 140 Edward K Ellington,0.0273,0.7255,0.02,0.1564,0.0818,0.8927,0.1709,0.0091,Q140,All Grades,297,-73.780970897,40.686899685,No,52,1,53,Queens,NYC DOE,0.018867924528301886,Minority,0.7255,Black
P.S. 144 Col Jeromus Remsen,0.3643,0.0281,0.0526,0.1601,0.0941,0.2457,0.1027,0.3533,Q144,All Grades,331,-73.853202265,40.715189259,No,45,3,48,Queens,NYC DOE,0.0625,Minority,0.3643,Asian
J.H.S. 157 Stephen A. Halsey,0.2368,0.1275,0.1092,0.2191,0.017,1,0.1543,0.3996,Q157,All Grades,317,-73.853802641,40.732349041,No,100,14,114,Queens,NYC DOE,0.12280701754385964,Minority,0.3996,White
P.S. 160 Walter Francis Bishop,0.145,0.5666,0.0385,0.1746,0.1021,0.8876,0.179,0.0118,Q160,All Grades,289,-73.800423877,40.688171332,No,79,3,82,Queens,NYC DOE,0.036585365853658534,Minority,0.5666,Black
P.S. 161 Arthur Ashe School,0.6348,0.053,0.1222,0.1753,0.1134,0.9057,0.1355,0.0236,Q161,All Grades,317,-73.821499547,40.690522916,No,144,4,148,Queens,NYC DOE,0.02702702702702703,Minority,0.6348,Asian
Metropolitan Expeditionary Learning School,0.1704,0.187,0.0139,0.374,0.0568,0.633,0.1898,0.2119,Q167,All Grades,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.374,Hispanic
P.S. 174 William Sidney Mount,0.3251,0.053900000000000003,0.1006,0.2566,0.0321,0.3746,0.1137,0.3324,Q174,All Grades,324,-73.861310199,40.720891948,No,75,2,77,Queens,NYC DOE,0.025974025974025976,Minority,0.3324,White
P.S. 175 The Lynn Gross Discovery School,0.2148,0.0132,0.083,0.1133,0.0145,0.5982,0.112,0.6443,Q175,All Grades,318,-73.85301315,40.730720666,No,108,5,113,Queens,NYC DOE,0.04424778761061947,White,0.6443,White
P.S. 182 Samantha Smith,0.2732,0.1419,0.3042,0.54,0.0331,0.9584,0.1494,0.0117,Q182,All Grades,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minority,0.54,Hispanic
J.H.S. 190 Russell Sage,0.3064,0.0867,0.0973,0.2736,0.0385,1,0.1484,0.2948,Q190,All Grades,320,-73.851824989,40.722817483,No,85,8,93,Queens,NYC DOE,0.08602150537634409,Minority,0.3064,Asian
P.S. 196 Grand Central Parkway,0.3705,0.0263,0.0576,0.1302,0.0839,0.219,0.1189,0.3892,Q196,All Grades,348,-73.837831943,40.722664955,No,180,6,186,Queens,NYC DOE,0.03225806451612903,Minority,0.3892,White
P.S. 206 The Horace Harding School,0.1595,0.1894,0.2259,0.3306,0.0266,0.8173,0.0947,0.294,Q206,All Grades,301,-73.860834641,40.734705728,No,58,4,62,Queens,NYC DOE,0.06451612903225806,Minority,0.3306,Hispanic
J.H.S. 217 Robert A. Van Wyck,0.3674,0.1245,0.1775,0.4352,0.0125,1,0.1532,0.0604,Q217,All Grades,297,-73.812504408,40.70996853,No,86,7,93,Queens,NYC DOE,0.07526881720430108,Minority,0.4352,Hispanic
